user name,user screen name,location,total followers,total friends,total listed,total favorites,total status,is this tweet a quote?,tweet retweet count,favorite count,was this a retweet?,was this favorited,id,created_at,tweet language,text,verified?
b'Jorge Iraheta',b'TwoFewChainz',"b'San Isidro, El Salvador'",800,460,1,2828,20485,FALSE,34,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,en,b'RT @SoMexicans: Guards: are you breaking out again? \n\nEl Chapo: https://t.co/xf245ay035',FALSE
,,,,,,,,,,,,,,,,,
b'CateKA',b'keltcat',"b'Knoxville, TN'",5381,5390,57,2794,51388,FALSE,2208,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,en,b'RT @charliekirk11: Why don\xe2\x80\x99t we use the $14 BILLION we seized from El Chapo to fund the wall?\n\n\xf0\x9f\xa4\x94',FALSE
,,,,,,,,,,,,,,,,,
b'Patriot',b'Patriot01224735',"b'Florida, USA'",593,660,0,4781,15428,FALSE,2208,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,en,b'RT @charliekirk11: Why don\xe2\x80\x99t we use the $14 BILLION we seized from El Chapo to fund the wall?\n\n\xf0\x9f\xa4\x94',FALSE
,,,,,,,,,,,,,,,,,
b'Armando Colunga',b'Soloveno210',"b'San Antonio, TX'",62,26,2,971,1794,FALSE,49,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,en,b'RT @CB618444: How about using the drug $ seized from the illegal kingpin  #ElChapo? $14 BILLION ready to go! U cowards &amp; traitors won\xe2\x80\x99t fun\xe2\x80\xa6',FALSE
,,,,,,,,,,,,,,,,,
b'pete2823  \xf0\x9f\x8c\x8a\xf0\x9f\x8c\x8a\xf0\x9f\x8c\x8a',b'pete28231',"b'Texas, USA'",3058,3433,1,32844,16999,FALSE,1274,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,en,"b""RT @TheDemCoalition: Don\xe2\x80\x99t retweet this evidence that @DonaldJTrumpJr is tied to El Chapo's Mexican drug cartel. It could make Don Jr angry\xe2\x80\xa6""",FALSE
,,,,,,,,,,,,,,,,,
b'tony vargas',b'tony_theplug',"b'Calistoga, CA'",55,116,0,1466,576,FALSE,34,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,en,b'RT @SoMexicans: Guards: are you breaking out again? \n\nEl Chapo: https://t.co/xf245ay035',FALSE
,,,,,,,,,,,,,,,,,
b'rodrigo fonseca',b'rodrigofongon',b'',47,776,0,1298,1185,FALSE,325,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,es,b'RT @callodehacha: La buena noticia: el Chapo no podr\xc3\xa1 competir para senador por MORENA.',FALSE
,,,,,,,,,,,,,,,,,
b'\xe2\xad\x90\xef\xb8\x8f\xe2\xad\x90\xef\xb8\x8f\xe2\xad\x90\xef\xb8\x8fWen Loe',b'wen_loe',b'',425,369,2,19121,8099,FALSE,901,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,en,b'RT @SenTedCruz: Last week I reintroduced the EL CHAPO Act which would reserve any amounts forfeited to the US gov as a result of criminal p\xe2\x80\xa6',FALSE
,,,,,,,,,,,,,,,,,
b'Nicola Henry-Taylor',b'EsqNicola',"b'Pittsburgh, PA'",1916,4980,39,5399,4620,FALSE,816,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,es,"b'RT @TwitterMoments: Mexican cartel leader Joaqu\xc3\xadn ""El Chapo"" Guzm\xc3\xa1n has been found guilty in the US trial. https://t.co/mJwITaJEXK'",FALSE
,,,,,,,,,,,,,,,,,
b'Brady OYong',b'oyongbrady',b'NY',189,159,0,3502,2218,FALSE,1151,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,en,"b'RT @thehill: Ted Cruz calls on Senate to pass bill to make ""El Chapo"" pay for border wall https://t.co/xl7q7Jlr0n https://t.co/wHmcmKPV8x'",FALSE
,,,,,,,,,,,,,,,,,
b'Melinda Glenn',b'GlennMkglenn1',b'Kansas',200,199,1,36595,2500,FALSE,2208,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,en,b'RT @charliekirk11: Why don\xe2\x80\x99t we use the $14 BILLION we seized from El Chapo to fund the wall?\n\n\xf0\x9f\xa4\x94',FALSE
,,,,,,,,,,,,,,,,,
b'Willie',b'WillieEggimann',"b'Forney, TX'",242,795,10,23444,13761,FALSE,2208,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,en,b'RT @charliekirk11: Why don\xe2\x80\x99t we use the $14 BILLION we seized from El Chapo to fund the wall?\n\n\xf0\x9f\xa4\x94',FALSE
,,,,,,,,,,,,,,,,,
b'Nacho Amestoy',b'Nachoamestoy_',b'Tandil',468,444,1,1139,15633,FALSE,0,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,es,b'Vuelve el chapo? https://t.co/O4WZHfONu0',FALSE
,,,,,,,,,,,,,,,,,
b'Kat  #ISTANDWITHGENFLYNN',b'KatTheHammer1',b'Cali girl in a Florida World',114071,73819,194,241342,257588,FALSE,65,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,en,"b""RT @M4G4G1RL: #PassElChapoActNow \nWe can build the wall AND have El Chapo pay for it... @tedcruz's #ELCHAPOAct is how. Stand with Ted Cruz\xe2\x80\xa6""",FALSE
,,,,,,,,,,,,,,,,,
b'DPersisted-#WakeUpAmerica',b'DPersisted',"b'North Carolina, USA'",6894,7571,24,51660,23635,TRUE,1208,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,en,b'RT @adamcbest: So let me get this straight. Ted Cruz wants to use money seized from El Chapo to fund the wall. The same El Chapo whose cart\xe2\x80\xa6',FALSE
,,,,,,,,,,,,,,,,,
b'Jon P',b'Jonny_P777',b'',70,118,0,3074,2565,FALSE,2208,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,en,b'RT @charliekirk11: Why don\xe2\x80\x99t we use the $14 BILLION we seized from El Chapo to fund the wall?\n\n\xf0\x9f\xa4\x94',FALSE
,,,,,,,,,,,,,,,,,
b'Dilcia Carta',b'dilcia_carta',"b'Tucson, AZ'",144,538,0,12690,40143,FALSE,55,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,es,b'RT @maibortpetit: El Chapo Guzm\xc3\xa1n: Culpable\nEl Chapo se enfrenta a una condena obligatoria de cadena perpetua\nhttps://t.co/lX4AHsOzPG https\xe2\x80\xa6',FALSE
,,,,,,,,,,,,,,,,,
b'Deplorable Pat',b'jaliisah2',b'Beautiful North Idaho',10033,9784,3,39,13119,FALSE,23,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,en,"b""RT @PeterHi32200905: What we need to do isn't complicated... Stop the human traffickers. Stop the drug traffickers. And #BuildTheWall! @ted\xe2\x80\xa6""",FALSE
,,,,,,,,,,,,,,,,,
b'Wanger ME Wong | The Debatable Playground',b'me_wanger',b'',100,239,1,1508,3013,FALSE,2208,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,en,b'RT @charliekirk11: Why don\xe2\x80\x99t we use the $14 BILLION we seized from El Chapo to fund the wall?\n\n\xf0\x9f\xa4\x94',FALSE
,,,,,,,,,,,,,,,,,
b'Martinez',b'ModernOvet',b'Sweet Home Chicago ',147,367,2,3818,2680,FALSE,0,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,en,b'@TariffMYtaxCUT @CNNPolitics Don\xe2\x80\x99t you know El Chapo\xe2\x80\x99s son owns his money and the entire enterprise.',FALSE
,,,,,,,,,,,,,,,,,
b'MAGADAN',b'gone2300',b'United States',8980,8297,56,72300,66534,FALSE,2197,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,en,"b""RT @tedcruz: What we need to do isn't complicated...\n\nStop the human traffickers.\n\nStop the drug traffickers.\n\nAnd #BuildTheWall!\n\nI have a\xe2\x80\xa6""",FALSE
,,,,,,,,,,,,,,,,,
b'Phoebe Beach Smirker \xf0\x9f\x98\x8f',b'PhoebeBeach',b'',3374,3337,42,36741,62967,FALSE,0,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,en,"b""#BuildTheWall We can build the wall AND have El Chapo pay for it... @tedcruz's #ELCHAPOAct is how. Stand with Ted C\xe2\x80\xa6 https://t.co/cNwbRaDshG""",FALSE
,,,,,,,,,,,,,,,,,
b'@THEREALPAPA',b'Dave84098703',"b'Affton, MO'",1275,1738,1,44208,44949,FALSE,3646,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,en,"b""RT @tedcruz: Let's pass the EL CHAPO Act and make El Chapo pay to secure our border: https://t.co/xBCc6dVaR2""",FALSE
,,,,,,,,,,,,,,,,,
b'Imad Khan',b'imadkhan82',"b'California, USA'",125,340,1,19861,20303,FALSE,1151,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,en,"b'RT @thehill: Ted Cruz calls on Senate to pass bill to make ""El Chapo"" pay for border wall https://t.co/xl7q7Jlr0n https://t.co/wHmcmKPV8x'",FALSE
,,,,,,,,,,,,,,,,,
b'Joey Schmidt',b'JoeySchmidt94',b'',391,240,6,21577,22261,TRUE,2540,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,en,"b'RT @SenTedCruz: America\xe2\x80\x99s justice system prevailed today in convicting Joaqu\xc3\xadn Guzm\xc3\xa1n Loera, aka El Chapo, on all 10 counts.  U.S. prosecut\xe2\x80\xa6'",FALSE
,,,,,,,,,,,,,,,,,
b'Maria E',b'MsMaritaE',b'Venezuela',296,375,15,1357,8283,FALSE,4761,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,es,"b'RT @ElyangelicaNews: #ELVEREDICTO Despu\xc3\xa9s de la condena a Joaquin \xe2\x80\x9cEl Chapo\xe2\x80\x9d Guzm\xc3\xa1n, el representante de la DEA dice \xe2\x80\x9cno importa quien seas\xe2\x80\xa6'",FALSE
,,,,,,,,,,,,,,,,,
b'Alfonso Berdugo',b'beralf57',b'Bogot\xc3\xa1 - Colombia',339,517,2,29,18464,FALSE,362,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,es,"b""RT @CARLOSFMEJIA: Mientras el 'Chapo Guzm\xc3\xa1n' es condenado a cadena perpetua en una c\xc3\xa1rcel de Colorado, aqu\xc3\xad le garantizan impunidad al narc\xe2\x80\xa6""",FALSE
,,,,,,,,,,,,,,,,,
b'LLC',b'LLF347',b'NYC ',923,922,1,5576,4390,FALSE,0,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,en,"b'@tedcruz Hey, If chapo pays MEXICO PAYS FOR THE WALL \xf0\x9f\xa4\xa3\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x91\x8d\xf0\x9f\x8f\xbb\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x99\x8f\xf0\x9f\x98\x98 @POTUS Just DO it \xc2\xae\xef\xb8\x8f'",FALSE
,,,,,,,,,,,,,,,,,
b'Jessica Josephson',b'jjj5819',b'Worcester  MA',1673,4048,245,260276,338285,FALSE,181,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,en,b'RT @TheDemCoalition: Hey @DonaldJTrumpJr-Why\xe2\x80\x99d you block Scott Dworkin? (@Funder) Was it because he helped expose your Russian business tie\xe2\x80\xa6',FALSE
,,,,,,,,,,,,,,,,,
b'Capefive',b'FugitiveMonk',b'Weedachusetts',341,1236,2,10849,3778,FALSE,32,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,en,"b""RT @Va_Funculo: We can build the wall AND have El Chapo pay for it... @tedcruz's #ELCHAPOAct is how. Stand with Ted Cruz and add your name\xe2\x80\xa6""",FALSE
,,,,,,,,,,,,,,,,,
b'Lisel',b'LiselBruns',"b'Berkeley, CA'",1440,2088,148,69241,73442,FALSE,104,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,en,"b'RT @adamcbest: El Chapo was also known for using sophisticated underground tunnels to smuggle into the US. They had ventilation systems, li\xe2\x80\xa6'",FALSE
,,,,,,,,,,,,,,,,,
b'itza \xf0\x9f\xa7\x98\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f',b'itzamarigarcia',b'',65,49,0,7833,3561,FALSE,331,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,en,b'RT @actoravan: I ain\xe2\x80\x99t no snitch but I think el chapo planning his next escape https://t.co/KypYbnP8wm',FALSE
,,,,,,,,,,,,,,,,,
b'Addybnyc',b'firedupyogini',b'New York',537,3213,6,50809,30521,FALSE,8,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,es,"b'RT @ahope71: El Chapo, culpable, pero en M\xc3\xa9xico nada cambia https://t.co/2daGDNJElR'",FALSE
,,,,,,,,,,,,,,,,,
b'Karlie loves Zayed.',b'heartfleur',"b'Zayed, my other half. \xe2\x99\xa1'",645,593,0,1704,371,FALSE,0,1,FALSE,FALSE,1.10E+18,2/13/2019 2:15,es,b'Estoy as\xc3\xad )( de iniciar un hilo hablando del juicio y la sentencia del Chapo. https://t.co/rQx7FOMpV7',FALSE
,,,,,,,,,,,,,,,,,
"b'MissieB31 ""VOTE THEM OUT"" \xf0\x9f\x8c\x8a'",b'MissieB31',b'Desert Southwest US',567,521,14,44317,35333,FALSE,321,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,en,"b'RT @funder: .@TedCruz-Your idea of taking money seized from El Chapo and using it to build a wall, is your dumbest idea since you decided r\xe2\x80\xa6'",FALSE
,,,,,,,,,,,,,,,,,
b'Alirio Mart\xc3\xadnez',b'Alirio66683',"b'La Plata, Argentina'",178,1001,0,9727,9588,FALSE,4761,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,es,"b'RT @ElyangelicaNews: #ELVEREDICTO Despu\xc3\xa9s de la condena a Joaquin \xe2\x80\x9cEl Chapo\xe2\x80\x9d Guzm\xc3\xa1n, el representante de la DEA dice \xe2\x80\x9cno importa quien seas\xe2\x80\xa6'",FALSE
,,,,,,,,,,,,,,,,,
b'VinnyFinizio',b'FinizioVinny',b'718',376,158,1,10953,7827,FALSE,0,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,en,b'Free El Chapo he didn\xe2\x80\x99t do anything.',FALSE
,,,,,,,,,,,,,,,,,
b'JAN',b'Janderella',b'',1344,1782,0,33610,21782,FALSE,334,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,en,b'RT @realDailyWire: Sen. Ted Cruz Proposes Unique Border Wall Solution: Make EL CHAPO Pay For It https://t.co/lXDpDfbfaz',FALSE
,,,,,,,,,,,,,,,,,
b'Falcon3Anon',b'AnonFalcon3',b'',3211,4376,1,874,2368,FALSE,2208,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,en,b'RT @charliekirk11: Why don\xe2\x80\x99t we use the $14 BILLION we seized from El Chapo to fund the wall?\n\n\xf0\x9f\xa4\x94',FALSE
,,,,,,,,,,,,,,,,,
b'Ibrahim Shaaz Habeeb',b'IbrahimShaaz',b'Maldives',486,615,2,191,3149,FALSE,704,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,en,b'RT @shotongoal247: #MUFC being escorted out of the #UCL after putting in an El Chapo like criminal performance \xf0\x9f\x9a\x93 https://t.co/VgAI66AI2i',FALSE
,,,,,,,,,,,,,,,,,
b'\xf0\x9f\x92\xabStacy \xe2\xad\x90\xef\xb8\x8f\xe2\xad\x90\xef\xb8\x8f\xe2\xad\x90\xef\xb8\x8f\xf0\x9f\x87\xba\xf0\x9f\x87\xb8',b'texasredright',b'Texas ',5812,6350,81,97352,79117,FALSE,2208,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,en,b'RT @charliekirk11: Why don\xe2\x80\x99t we use the $14 BILLION we seized from El Chapo to fund the wall?\n\n\xf0\x9f\xa4\x94',FALSE
,,,,,,,,,,,,,,,,,
b'Guillermo',b'Guiller17591727',"b'Tlahuac, Distrito Federal'",1174,2167,1,4311,6029,FALSE,909,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,es,b'RT @Miriam_Junne: Salpicado en el jucio del Chapo.\nSalpicado en Odebrecht.\nSalpicado en los contratos leoninos de CFE. \n\xc2\xbfY a\xc3\xban as\xc3\xad @FelipeC\xe2\x80\xa6',FALSE
,,,,,,,,,,,,,,,,,
b'Bri',b'brianaaaav',"b'Brooklyn, NY'",629,379,0,69701,32220,FALSE,365,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,en,"b""RT @MattHennessey: Can't stop laughing at this courtroom sketch of El Chapo and his wife giving each other the thumbs up. https://t.co/91wq\xe2\x80\xa6""",FALSE
,,,,,,,,,,,,,,,,,
b'Elizabeth',b'bethlahem16',"b'Keowee, SC'",771,112,1,37316,36906,FALSE,65,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,en,"b""RT @M4G4G1RL: #PassElChapoActNow \nWe can build the wall AND have El Chapo pay for it... @tedcruz's #ELCHAPOAct is how. Stand with Ted Cruz\xe2\x80\xa6""",FALSE
,,,,,,,,,,,,,,,,,
b'Amos Moses\xe2\xad\x90\xe2\xad\x90\xe2\xad\x90',b'BeverlyMcCord2',b'East Texas USA',18451,18722,18,20222,170256,FALSE,1151,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,en,"b'RT @thehill: Ted Cruz calls on Senate to pass bill to make ""El Chapo"" pay for border wall https://t.co/xl7q7Jlr0n https://t.co/wHmcmKPV8x'",FALSE
,,,,,,,,,,,,,,,,,
b'Sound the Trumpets',b'cdangelo8',b'',35,140,0,2900,975,FALSE,1266,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,en,b'RT @AOCpress: PRESS RELEASE: Congresswoman AOC immediately calls for a full pardon for migrant entrepreneur El Chapo.',FALSE
,,,,,,,,,,,,,,,,,
b'Jim Slappers',b'BoolioBones',b'Dirty Jersey',279,474,2,16681,22689,TRUE,246,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,en,b'RT @_brandoc: el chapo or john witherspoon? https://t.co/yrY8qTwiSK',FALSE
,,,,,,,,,,,,,,,,,
b'susytela@hotmail.com',b'susytelahotmai1',b'Ciudad Aut\xc3\xb3noma de Buenos Aire',28,92,0,796,960,FALSE,1573,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,es,b'RT @hanalfabeto: En Estados Unidos al Chapo Guzm\xc3\xa1n lo condenaron a cadena perpetua. Ac\xc3\xa1 lo hubieran postulado a gobernador de la provincia\xe2\x80\xa6',FALSE
,,,,,,,,,,,,,,,,,
b'Francisco Ramos',b'Francisco1965',"b'Caracas, Venezuela'",43,281,1,4032,896,FALSE,2086,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,es,b'RT @elcitizen: El Chapo sentenciado ... sabes todos caen. Ojo Diosdado t\xc3\xba est\xc3\xa1s en la lista by the way...',FALSE
,,,,,,,,,,,,,,,,,
b'CryptoRob',b'syfgr8fuldead',b'',254,403,13,2793,733,FALSE,104,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,en,"b'RT @jordanfish: El Chapo, once the most powerful drug trafficker in the world, received a lesser sentence than Ross Ulbricht. \n\n@Free_Ross\xe2\x80\xa6'",FALSE
,,,,,,,,,,,,,,,,,
b'G.H.P.P.',b'Colectivoghpp',b'Cuartel De La Monta\xc3\xb1a 4F-23E',2049,2011,7,47,13160,FALSE,71,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,es,"b'RT @Globoterror: \xc2\xa1SUMANDO APOYOS! El Chapo Guzm\xc3\xa1n reconoce a @jguaido como presidente leg\xc3\xadtimo y, siguiendo sus pasos, anuncia que se autop\xe2\x80\xa6'",FALSE
,,,,,,,,,,,,,,,,,
b'Steven R. Corey\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x8c\x9f\xf0\x9f\x8c\x9f\xf0\x9f\x8c\x9f',b'StevenRCorey1',"b'New Jersey, USA'",22101,24152,5,73629,93123,TRUE,244,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,en,b'RT @Jali_Cat: \xf0\x9f\x97\xa3\xe2\x80\x9dWe need to meet our obligations to International (Immigration) Law...\xe2\x80\x99 ~ @BetoORourke \n\nUm. No. We don\xe2\x80\x99t.\n\nWe need to meet\xe2\x80\xa6',FALSE
,,,,,,,,,,,,,,,,,
b'ICIT Holding',b'ICITHolding',b'',61,495,0,4,3627,FALSE,0,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,es,"b'En EU, el senador republicano por Texas, Ted Cruz, relanz\xc3\xb3 su iniciativa de ley para que el gobierno estadounidense\xe2\x80\xa6 https://t.co/5iXwZM1Wwx'",FALSE
,,,,,,,,,,,,,,,,,
b'Alejandra Navarro',b'alenavarrohn',b'',2360,216,19,6414,39741,FALSE,2,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,es,b'RT @Univision: Cronolog\xc3\xada: los momentos que marcaron el juicio de \xe2\x80\x98El Chapo\xe2\x80\x99 Guzm\xc3\xa1n https://t.co/ATiNusKa3N https://t.co/jCW2MC85Mi',FALSE
,,,,,,,,,,,,,,,,,
b'Leo Kleczkowski',b'leoski97',b'',714,906,0,6317,8187,FALSE,671,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,en,"b'RT @DGPurser: In New York, El Chapo, a notorious murderer and gangster, gets a lighter sentence than unborn babies.\n\nHe gets his life, the\xe2\x80\xa6'",FALSE
,,,,,,,,,,,,,,,,,
"b""pierce d'art""",b'piercedart',"b""out 'n about""",1905,973,89,162117,157590,FALSE,592,0,FALSE,FALSE,1.10E+18,2/13/2019 2:15,en,"b'RT @chuckwoolery: After El Chapo conviction, use seized $14 BILLION to build border wall? https://t.co/tgFOYge56x via @mrwalsh__'",FALSE
